ident,             JDTDB,                      X,                      Y,                      Z,              VX (km/s),              VY (km/s),              VZ (km/s),             mass (kg),          radius (km),  color1,   color2,    color3,
   Jupiter, 2452403.212966962, -282629632.3016803, 726904836.213049, 3309840.5715710176, -12.34210923513944, -4.111125669049776, 0.29323819061048484, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2452403.212966962, 298672081.0827264, 1319429676.198574, -34870541.727608345, -9.929340275725666, 2.1164727492939095, 0.35771898188839596, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2452403.212966962, 2471287345.891497, -1686261899.995601, -38287517.512479804, 3.7886722679573674, 5.307963576968011, -0.0294268446913978, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2452403.212966962, 2835364290.3301935, -3497328614.7490406, 6649942.098211496, 4.187315695451381, 3.4540644545697496, -0.16821684903088713, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2452403.212966962, -1084286804.0253336, -4365618070.433341, 780339960.1279134, 5.373002729696573, -2.2446794704228936, -1.323582231557181, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2452403.212966962, -22359645.946808964, 134222149.75912017, 14351696.96405288, -33.68285808906469, -2.4210805350734885, -0.12135325630938344, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 259954690.95589635

       Sun, 2452445.2037080154, -38106.68425708138, -944225.8368640544, 7785.379643999336, 0.013869983503541034, -0.0017357774798149729, -0.00034654086736052796, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2452445.2037080154, 44036488.49947401, -44184490.82050516, -7569741.003295116, 24.51049780011513, 37.060113535816235, 0.7789815359352175, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2452445.2037080154, -107228345.0326295, -10285878.123536978, 6067070.461413299, 2.828202364111155, -35.0469443238641, -0.6419436402446204, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2452445.2037080154, -4650137.422909559, -152881925.70280463, 8321.846064070776, 29.300113823342922, -1.0115055914023054, 0.000299163603793539, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2452445.2037080154, -4993330.4235683605, -153015240.77484232, 36693.21349306137, 29.67721236474918, -2.0024916015014007, -0.0530702403671877, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2452445.2037080154, -101430374.56892009, 219782369.86638665, 7123029.809616569, -21.082595668150457, -8.055745144301541, 0.3493893380160373, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2452445.2037080154, -326862308.0451099, 710667302.093358, 4367004.750511639, -12.035053535514656, -4.836106177982711, 0.2893717424967709, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2452445.2037080154, 262547138.00496864, 1326642272.9507275, -33560589.389941454, -9.984004250632315, 1.8593945684276592, 0.36437244285629805, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2452445.2037080154, 2484951834.2971177, -1666949808.3130615, -38393026.75414799, 3.7440966605842334, 5.338104383348079, -0.028736945280622612, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2452445.2037080154, 2850528651.2860184, -3484763791.4016533, 6039589.36865685, 4.172300461903757, 3.4725037720418346, -0.1682504826603434, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2452445.2037080154, -1064783646.4592558, -4373721642.701272, 775530849.3651283, 5.378442978891187, -2.222564869805861, -1.3275200844947705, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2452445.2037080154, -126805196.74105187, 87254067.91959801, 9813646.52950103, -21.84597099871168, -21.145517402120362, -2.143229208452569, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness: 

       Sun, 2452796.7546365606, 362350.2661201496, -953848.2083233492, -2562.5917322880155, 0.012181105821682317, 0.0009652996050065227, -0.00033340081923758627, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2452796.7546365606, 44031914.74885101, -44799056.559292994, -7592318.7872880725, 24.904170591142734, 36.6702182445911, 0.7107385768929538, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2452796.7546365606, 96941100.87477206, 47970770.03864019, -4908029.270002896, -15.92589549747247, 31.095154793316205, 1.3448692525275585, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2452796.7546365606, -38443319.57207116, -147709605.97330943, -1798.995049574902, 28.331173426063785, -7.722187448291605, -0.00026175783767239916, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2452796.7546365606, -38761031.55278935, -147497142.25368732, 33412.27133231708, 27.80710569853215, -8.598653199322273, 8.69198107691786e-05, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2452796.7546365606, 49456292.87361078, -208981340.9565834, -5566794.498860915, 24.516661330733374, 7.6485666664650225, -0.44227708038759905, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2452796.7546365606, -637706605.8666652, 482943084.1118429, 12267230.029618623, -8.055287765634615, -9.793655390696303, 0.2208670580362425, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2452796.7546365606, -44696553.629652254, 1349932507.1913505, -21756221.525581807, -10.163087804293564, -0.33356350257425, 0.4097058887190578, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2452796.7546365606, 2592915853.9041367, -1501130347.4154541, -39177546.81184633, 3.3624224969444243, 5.576103659747912, -0.022904624694752428, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2452796.7546365606, 2975314893.7326555, -3376972521.7594433, 926220.5497040799, 4.0434109592463345, 3.6243240164648327, -0.1684056501236931, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2452796.7546365606, -900771676.9940938, -4438415694.304692, 734720798.9129027, 5.4198132076614485, -2.037230085455668, -1.3592922480458607, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2452796.7546365606, 99386255.26376973, 92335167.36315702, 9442229.478659838, -25.109329476608853, 22.8718524369783, 2.5115199961802483, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 276961503.4977968

       Sun, 2453023.9074160308, 587285.0236862027, -921566.821768686, -8802.28791759207, 0.010753074824557111, 0.0022510636344791842, -0.00030669198531070574, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2453023.9074160308, -56284729.783936195, -29403165.815418575, 2883923.123421827, 11.787165032715578, -41.44745889283008, -4.467284963462048, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2453023.9074160308, 93538265.92914295, 54512626.61405701, -4615801.3179106945, -18.03754015703078, 29.935237406619137, 1.450828186397322, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2453023.9074160308, -70020088.10121618, 128210967.98723358, -9709.237679984717, -26.627653011674003, -14.401433054266544, 0.000732069399907168, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2453023.9074160308, -70045289.78637958, 127849687.22365984, -29492.13037575274, -25.547879011448664, -14.467864098238689, -0.07386992598554894, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2453023.9074160308, 108864890.28800817, 195325917.5757853, 1442139.8628823492, -20.27974260548448, 13.773117236883017, 0.786774820709081, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2453023.9074160308, -762104434.4380584, 270252498.7559989, 15932870.395985553, -4.537082213115624, -11.69328420684716, 0.1500148334374472, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2453023.9074160308, -243009303.28493106, 1329449793.1345391, -13518108.495681461, -10.011230869508823, -1.7496551848135788, 0.4283475813132289, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2453023.9074160308, 2656421723.426899, -1390302625.0292556, -39589690.60386917, 3.1082596352264793, 5.716022712770484, -0.01909005902264663, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2453023.9074160308, 3053828209.021985, -3304900076.9020233, -2378866.56607696, 3.9571591662159262, 3.7199263453163383, -0.16838559477803947, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2453023.9074160308, -794173687.810668, -4477222614.128094, 707851584.4161297, 5.4426103323164226, -1.917425428399059, -1.3786817547688877, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2453023.9074160308, -95987094.65286116, -178684835.2581513, -18373165.19054326, 19.774194757057177, -11.33661160556995, -1.2744411340246518, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness: 

       Sun, 2453206.3958433163, 743090.1019443822, -879171.983420057, -13378.267742239947, 0.009034534877578326, 0.002799558502144495, -0.0002734945728433431, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2453206.3958433163, -45124899.92181526, -50236471.159597114, 163968.88405341143, 25.807146817837015, -30.94262972996859, -4.8959922758585845, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2453206.3958433163, 88411652.95047168, -65258159.1609788, -5954163.844684013, 20.51964279291059, 28.08991999846475, -0.799969030565948, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2453206.3958433163, 71080329.66792575, -135655438.9477389, -12473.648187669662, 25.94021083331262, 13.678908762590932, -4.6769120452992137e-05, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2453206.3958433163, 70751044.14043044, -135434711.23960757, 20430.102547952076, 25.415073350910408, 12.83925314212532, -0.030563175268678335, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2453206.3958433163, -209855848.81734398, 131698782.09883039, 7938941.004305672, -11.985561357457168, -18.43427207616641, -0.09182706504220893, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2453206.3958433163, -809470977.3761549, 79441875.16440731, 17784002.80895334, -1.449508897655078, -12.384047549849969, 0.08378540818366854, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2453206.3958433163, -398887436.86464155, 1293068837.3865747, -6689345.280319039, -9.739687951447053, -2.859258033431387, 0.43689341715764396, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2453206.3958433163, 2703793269.246278, -1299345762.867123, -39866379.76054676, 2.900140787278841, 5.820392559245251, -0.01600459973534733, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2453206.3958433163, 3115663323.8422313, -3245652288.2849107, -5033215.215747805, 3.8862142042726777, 3.795265266889649, -0.16830095768509218, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2453206.3958433163, -708230511.8153902, -4506696187.451157, 685995460.2903717, 5.458714555793237, -1.8212350898577347, -1.3936092552414008, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2453206.3958433163, 144111973.66829506, 25321191.280476213, 2181626.998064779, -10.584257207648564, 30.21031164588548, 3.2273992982872013, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 176782099.15760097

       Sun, 2453602.611124046, 1000600.4065879191, -773026.2691482963, -21687.372525330327, 0.005780686990015781, 0.0029820895626823884, -0.0002033015107323081, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
